"Q2.5.","Q25.","Q50.","Q75.","Q97.5.","COMMON_POPULATION_NAME","ESU"
-0.163608854408846,-0.0440484544936599,0.00965859944393965,0.0638715855991007,0.194973412371368,"Klickitat River - summer and winter Steelhead","Mid-Columbia steelhead"
-0.137316920572788,-0.0460731686927903,-0.00138070801599176,0.0468886966149702,0.140417282767683,"Naches River - summer Steelhead","Mid-Columbia steelhead"
-0.172997991350776,-0.057185581132233,-0.00274046150067484,0.0515088533777711,0.169380249346482,"Rock Creek - summer Steelhead","Mid-Columbia steelhead"
-0.145100144806121,-0.0511409587423153,-0.00427266881434083,0.0416518763048303,0.143568037264178,"Satus Creek - summer Steelhead","Mid-Columbia steelhead"
-0.164576259575957,-0.062365879767748,-0.0154244435228894,0.0377253419214625,0.142365879843689,"Toppenish Creek - summer Steelhead","Mid-Columbia steelhead"
-0.153866177994031,-0.0487659958670759,0.00399639791456253,0.0557311299453515,0.173729294577124,"Touchet River - summer Steelhead","Mid-Columbia steelhead"
-0.166430933669947,-0.0672324830256786,-0.0209114816824512,0.0285403570412618,0.132714655350978,"Walla Walla River - summer Steelhead","Mid-Columbia steelhead"
-0.114782264054578,-0.0243150017170144,0.0249373915086873,0.0728221272268928,0.186113033081907,"Yakima River Upper Mainstem - summer Steelhead","Mid-Columbia steelhead"
