"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"eps[1]",0.173397546020722,0.0181595242727568,0.48509313337529,-0.858243531340355,-0.112224743101669,0.220243556821995,0.491383439250292,1.05178075413995,713.577783197161,1.00777308631685
"eps[2]",-1.24512183016396,0.0152195229620968,0.498936445099382,-2.16051211850012,-1.546034629769,-1.28216185407564,-0.959724535091719,-0.176751848115571,1074.70279008771,1.00558734599292
"eps[3]",-0.700182795861668,0.0178281397633359,0.463461071217164,-1.56252969449731,-1.01351773213331,-0.716598667882764,-0.427109740522579,0.277544911087483,675.794203012545,1.00652451236808
"eps[4]",1.48658300495068,0.0202819318815377,0.522691489052747,0.365457722446688,1.18912577509074,1.51076223783291,1.84142228519491,2.41431526688038,664.159237751225,1.00363555724976
"eps[5]",-0.157425106144435,0.0315364891498611,0.480189130568258,-1.01088677362519,-0.458889507362267,-0.16278492226582,0.101190841614685,0.919485577881837,231.845122745127,1.01963494014862
"eps[6]",-0.564143085366654,0.0209263844086552,0.493397873669919,-1.36666471722796,-0.885856183708984,-0.626335849878691,-0.296411276243165,0.596364554314079,555.912128607138,1.0040197683226
"eps[7]",2.11063713170322,0.0216300032598361,0.541163614229478,0.953993991032744,1.75270900362304,2.12640540842626,2.47127274126579,3.13486660300308,625.956289397953,1.00731355190202
"eps[8]",1.58424590709509,0.0118828301819902,0.479718662948409,0.67946130752923,1.28248980723947,1.56410907559714,1.88365938521436,2.60143652397455,1629.79675147705,1.00621008979561
"eps[9]",0.999849986604998,0.0155131193740381,0.481111472843535,0.0399069477153609,0.697459585957768,0.987655081010576,1.28339484107187,1.98275242353749,961.818570532031,1.00800689709037
"eps[10]",-0.956093607245793,0.0406661235677946,0.560745398656223,-1.8213641524902,-1.33231798423013,-1.00611546016511,-0.663364753484037,0.394585948777922,190.136670723378,1.01597601981495
"eps[11]",1.13528692761176,0.0188772785189908,0.508300426700289,0.00155429887830334,0.861289710144768,1.1563849670353,1.46631936028497,2.05019555429895,725.040358107926,1.00440749187443
"eps[12]",0.196550414298642,0.0095387901213531,0.45428193613591,-0.73255557333734,-0.0636745145071323,0.177288797337212,0.45174656865953,1.15366078537755,2268.11123371221,0.999535683044197
"eps[13]",-0.81317347508769,0.025816745941051,0.475731334900115,-1.67465140715495,-1.11598949242565,-0.830917176125773,-0.541361628839955,0.250419175792059,339.563118950673,1.01501475255142
"eps[14]",-0.383622345893493,0.0100817144164588,0.459008196483245,-1.38458611675977,-0.647295105041006,-0.363196786304999,-0.0946334902488009,0.465975029311491,2072.87015866911,0.99929592186121
"eps[15]",-0.871361061073966,0.0192089628238996,0.464227404050553,-1.74559059785293,-1.17796156857752,-0.874459581231396,-0.597475575939934,0.153046108042259,584.054959130935,1.01101846281513
