"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"tot_var",1.28494291500685,0.0123417169557878,0.464713796872352,0.606391550508086,0.954075065771796,1.20120954261412,1.52776013780674,2.41767826572785,1417.81631207325,1.00183081032038
"var_props[1]",0.182848320670518,0.00447532804165478,0.112858673298412,0.0266860861874846,0.0949561872175778,0.159256590737062,0.248904137745454,0.450754438057779,635.945841917149,1.00366304390942
"var_props[2]",0.163756898708491,0.00205149970530932,0.100817548360249,0.0228102232835487,0.0869609691323196,0.146566889081169,0.221613589012378,0.394560888854411,2415.06790623245,1.00202958293439
"var_props[3]",0.137661656002311,0.00184199433229569,0.0947725480899488,0.0165720919745734,0.0655999229682042,0.117572244067334,0.187673085338894,0.368669640407014,2647.21085890389,0.999817482708884
"var_props[4]",0.264995748575096,0.0070550654945345,0.132924262094288,0.0540712102164044,0.165436726255004,0.249430302582237,0.352293872879407,0.592380028852512,354.982069162175,1.00482955403842
"var_props[5]",0.250737376043583,0.00461262894331256,0.109893248074196,0.0740139215718663,0.168636757613841,0.237274558832195,0.318929666907938,0.499881616075323,567.603389397417,1.00483337203756
"nu_prop[1]",0.52452425332634,0.00467304900861739,0.225790710584155,0.10500633021549,0.347145842348677,0.53185387491494,0.700682671299092,0.921847609636407,2334.59456023094,1.00004243064042
"nu_prop[2]",0.555536599239613,0.00495737455184557,0.230795813936601,0.111481832929901,0.371623838695101,0.571108980968608,0.742427544035604,0.938260312007657,2167.46647589099,1.00110616186802
"nu_prop[3]",0.467216724898316,0.00629875070232384,0.210172892358328,0.0856026709540287,0.307796104948136,0.464850091665039,0.624576793534552,0.868246586707251,1113.3829396125,1.00294057813146
"nu_prop[4]",0.472902722514865,0.00478047613921674,0.198008062654258,0.106966116428878,0.318234510893442,0.478255204295696,0.62800864112104,0.823845183820484,1715.62924012177,1.00134398474473
"slope_mu",-0.146885204430186,0.0127920298018765,0.458212490936288,-1.1459998620801,-0.40386762085591,-0.122129579993372,0.120861605547076,0.713832693321744,1283.08350796762,1.00535937955929
"eps_slope[1]",0.0688282140318697,0.0138215670859728,0.46029227969533,-0.771685702810958,-0.222809232202053,0.0448482610461629,0.31835330346245,1.08712830161044,1109.05429829376,1.00753755263484
