"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"tot_var",0.314939604434091,0.00373597968346202,0.166142968860042,0.114353649266158,0.200531051920651,0.275479286946156,0.387084008463248,0.73180438511925,1977.67499178263,1.00272240604555
"var_props[1]",0.207423056346516,0.00341471822230437,0.1232143300231,0.0326809713914873,0.112762518573641,0.187641979032264,0.283204538436624,0.497188646141125,1302.00513047729,1.00047238330582
"var_props[2]",0.188733314486721,0.00275703761751593,0.115506300533272,0.0245102987976869,0.0986979415328825,0.169027423461361,0.259856961098475,0.459654459360329,1755.19739342821,1.00083434708574
"var_props[3]",0.165719705555072,0.002194353674766,0.109137578844493,0.020437294852385,0.081496649132961,0.144066440549491,0.230066325405063,0.431962608183015,2473.63363433735,1.00049776490062
"var_props[4]",0.262934063610417,0.00372653898535152,0.136030174058024,0.047127817713464,0.161764962618245,0.248021240856935,0.352201236583465,0.560818295393746,1332.47530698466,1.00124457773908
"var_props[5]",0.175189860001275,0.00426153192893963,0.107420571164721,0.0283701998323716,0.0916948044913051,0.152843139513159,0.239243533968442,0.430802408155522,635.39445589532,1.00414537465898
"nu_prop[1]",0.518983649216852,0.00354398124408775,0.226879669402318,0.0972166965805552,0.34603179195977,0.521947259375888,0.697273498391414,0.917561635111194,4098.34327406047,1.00013169952814
"nu_prop[2]",0.532055159931048,0.00433924761116321,0.227096584880815,0.106547430898125,0.356881274002379,0.53348856904561,0.712822245050745,0.931835599271835,2739.00194366794,0.999618021629431
"nu_prop[3]",0.464399245714192,0.00411115224294714,0.212358825932921,0.086705628162959,0.296797463671798,0.457985321683157,0.624318661135456,0.869169131639093,2668.17009159194,1.00181495888083
"nu_prop[4]",0.491886627547187,0.00628392647885931,0.227043834868698,0.0940982491400266,0.311982198754878,0.486940976073015,0.671068052731557,0.910108039277959,1305.44096487252,0.999932652292685
"slope_mu",-0.2201458217205,0.0125166116134205,0.520806413449192,-1.34362632469811,-0.498671428596482,-0.189284314917645,0.0978673193900031,0.767638975067448,1731.32697074569,1.00146018792509
"eps_slope[1]",-0.248741131313597,0.0132775878986775,0.517305032710169,-1.34834047330926,-0.566831968803537,-0.225140059048989,0.0841632208864693,0.723953718303526,1517.9415076474,1.00226112025174
"eps_slope[2]",0.00402256964636566,0.0127298753429322,0.505150695801089,-0.964281143950275,-0.301726396418395,0.00406353452628355,0.30779838785606,1.05397901837666,1574.68470560708,1.00408016421693
"eps_annual[1]",-0.24963247180181,0.0143040992058776,0.727008015999598,-1.80244198095152,-0.673583029878775,-0.220681186838812,0.186455970182636,1.16964741491711,2583.19607324912,1.00112202200557
"eps_annual[2]",0.152505247279539,0.0119931113638688,0.632959288665221,-1.12269093863432,-0.210125752644906,0.138608198719516,0.542030928043265,1.41102473882381,2785.40160949358,1.00020395946251
"eps_annual[3]",-0.394802318063606,0.0162824700861542,0.724935175677093,-1.9233593982889,-0.835624300391621,-0.369304150660927,0.0728917711786055,0.92206322726542,1982.24699753828,1.001469841969
"eps_annual[4]",0.329352043473123,0.0130698270924798,0.674867660201857,-0.988842248583266,-0.0674086245546026,0.294949939696796,0.711984990009699,1.76176563830222,2666.22962775428,1.00120868480708
"eps_annual[5]",0.814439460587954,0.0181207097143869,0.819008559229565,-0.596214241340631,0.22572574590144,0.77794937517928,1.32768193429854,2.48715183275654,2042.80294136042,1.00132614369416
"eps_annual[6]",-0.512048688089193,0.0145965155231735,0.735424530835982,-2.06566671058518,-0.960568665580173,-0.466963216346114,-0.0421440216406151,0.861518242584436,2538.50391344173,0.99948768554427
"eps_annual[7]",-1.74510882656265,0.0369094063978805,1.33644856164942,-4.80815845786406,-2.50580964285327,-1.65557339049463,-0.789037243970775,0.387953835325118,1311.08356870948,1.00427820472217
"eps_annual[8]",0.423425066641562,0.0180094757884959,0.752967082804961,-1.00408782962422,-0.0493792742597695,0.414307277748719,0.865437382300155,1.91654928626068,1748.0338483511,1.00109968442359
"eps_annual[9]",-0.594662311743494,0.0158736379165931,0.746050662255376,-2.18879302611658,-1.03614736397236,-0.530062759814334,-0.110925954708878,0.720678026118127,2208.93888881687,1.00137983506953
"eps_annual[10]",0.327473520038859,0.0139313076193896,0.681705073045522,-1.0089202380929,-0.0768663706006097,0.300389151366186,0.699459958019228,1.77954451175866,2394.46937972053,1.00049531560761
"eps_annual[11]",0.253829288918116,0.0139388217678536,0.684964267247915,-1.1017085641222,-0.174466675829481,0.226297931618516,0.660954374803871,1.68365735107389,2414.81409645278,0.99992556794493
"eps_annual[12]",-0.584130070344857,0.0171649927975367,0.791738407510921,-2.32741380270949,-1.02331519205698,-0.515150362485154,-0.0815267037677567,0.806831838225715,2127.53236452954,0.99988505299792
"eps_annual[13]",0.487466124025662,0.0143152426028498,0.730027644373504,-0.862339441539967,0.0104215714944544,0.461526794784505,0.942460827719038,2.01786187059694,2600.64568388246,1.00088091781292
"het[1]",0.917319614043775,0.017901779907807,0.924576072878495,0.020899232557961,0.259058750680682,0.631102611209732,1.24837202967622,3.43611883623065,2667.42903044584,1.00114362588425
"het[2]",0.984725851177999,0.0178453445080852,0.971725651549789,0.0278558049534236,0.289953038235743,0.688124803293033,1.36954029229987,3.68206753070553,2965.08714307977,1.00107640226616
"eps_sigma_rn[1]",1.88201857806395,0.0651292103584503,2.07072609852644,0.183770696397231,0.639351258179712,1.23563075090479,2.33490520027947,7.93615043332996,1010.86623146319,1.00506206888137
"eps_sigma_rn[2]",1.18490050172062,0.0244645712983585,1.29029935202193,0.120678654063635,0.422145921720437,0.792203154792793,1.46352886916329,4.62124738874397,2781.67084486408,1.00269194864801
"eps_sigma_tn[1]",1.52431409511881,0.0335232497691093,1.83849274112014,0.123902525205277,0.481184048540499,0.9328336011854,1.85082652907084,6.45666566644968,3007.67989887292,1.00043315538137
"eps_sigma_tn[2]",1.39234821190989,0.0362268822201932,1.93772522835514,0.125137925418527,0.459466784005133,0.864875557925585,1.60945298971777,5.92590825772393,2861.03037730248,0.999472356344934
"eps_sigma_tn[3]",2.01313600452536,0.0467454132122926,2.43254263975023,0.173714790922626,0.6090747512191,1.2592271119596,2.43627769695734,8.20498825562908,2707.96419107115,0.999423644065452
"eps_sigma_tn[4]",1.48072632145437,0.0355348340566023,1.91361798239937,0.136621450559787,0.48054662602475,0.944379115641555,1.77334578063011,6.25831534313373,2900.02607965258,1.00039172582784
"eps_sigma_tn[5]",1.50022840746599,0.0331675072832206,1.85638658513416,0.153469427598632,0.488359225198319,0.970021212442955,1.83403342046876,5.77015561511755,3132.64495840062,0.999957047048749
