"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"tot_var",0.48344871178316,0.0035312982888778,0.157726890266218,0.273098095314421,0.375803233123072,0.452516163274862,0.555550944835852,0.87774522563946,1994.99896079267,1.0001902602305
"var_props[1]",0.22751948562436,0.00233597729060048,0.0904425106603323,0.0807146162481102,0.160777973662544,0.217537905078038,0.281665240356687,0.433476639516547,1499.0219306858,1.00215824931646
"var_props[2]",0.17468441082205,0.00161690381189749,0.114332024580349,0.0186628320614321,0.0893386889646851,0.152860807600487,0.237573780183481,0.449949048262818,4999.97022618629,1.00000458394568
"var_props[3]",0.0633488422134975,0.00149270155114887,0.056188871998785,0.00552218166470662,0.0236982507545039,0.0462683784225654,0.0849407113197062,0.218117012173321,1416.95043561325,1.00008108818493
"var_props[4]",0.299088862690462,0.00224112162812903,0.104440973463958,0.123818365580806,0.223960819350332,0.286179585003427,0.36524197795198,0.527816008046821,2171.75569270841,1.00021022297573
"var_props[5]",0.23535839864963,0.00285581511764908,0.0821345450256689,0.0992718436187857,0.176110554149584,0.227298325105649,0.287517327694799,0.413415384669478,827.163829134328,1.00101507403363
"nu_prop[1]",0.536556668189217,0.00253949215825566,0.220776600511012,0.117050353381412,0.371293349303606,0.54715997014447,0.70836584168159,0.92158139844262,7558.09474073227,0.99930538800685
"nu_prop[2]",0.657862006955308,0.00625755707116912,0.228855709464314,0.165433464550075,0.493915297556586,0.69572483899384,0.85021535959378,0.971272869751835,1337.56182383269,0.999800487262962
"nu_prop[3]",0.4025715542145,0.00297969505019437,0.194505038532666,0.0759430717746929,0.252016513152221,0.390180582013367,0.542173882015568,0.795717688896695,4261.06415319394,1.00083848641823
"nu_prop[4]",0.386644481342276,0.00390602257234208,0.184164292458775,0.0759058635719853,0.246661279080113,0.373877489103021,0.514501806354772,0.767789694467464,2223.0097132189,1.00177986608884
"slope_mu",-0.0509351784122839,0.00845346091893895,0.367171823631572,-0.811865961931272,-0.259577623800127,-0.0449845473779055,0.154170332803609,0.68111195849183,1886.55553692161,1.00214215874314
"eps_slope[1]",-0.0722731837105896,0.00783929843213455,0.43520201612582,-0.975886546164015,-0.312169686976499,-0.0646690391195872,0.166385141181034,0.789287519485748,3081.96286564898,0.999738576531403
"eps_slope[2]",0.022567662720585,0.00968882145512567,0.533131019335754,-1.0914707421438,-0.251691145905272,0.0246788627399911,0.292961882126687,1.10430402048894,3027.79172873102,1.00031097771713
"eps_slope[3]",0.536486304851569,0.0122526256903876,0.559796061265797,-0.338057958370895,0.165802088876357,0.45684206281596,0.834690299240481,1.86288691950946,2087.37916493643,1.00016410731995
"eps_slope[4]",0.0334086766874773,0.010150904694009,0.564975017388027,-1.07491358073254,-0.273867882565265,0.0109476952753979,0.32870785607748,1.25525620950893,3097.76870413327,0.99909859694287
"eps_slope[5]",0.183121954041673,0.00904676874465662,0.424379382394716,-0.612315381870494,-0.0560453689442288,0.149633905340342,0.396446571204371,1.09105572723192,2200.50102398324,1.00060125470162
"eps_slope[6]",-0.0869213054630035,0.0113051480616242,0.700204778068563,-1.54695086206345,-0.422438330823584,-0.0537305876934599,0.2571887528107,1.33833403401629,3836.16811032681,1.00086257016604
"eps_slope[7]",0.26339955514806,0.00747668973707641,0.405810120078952,-0.471117192964821,0.0169764515498732,0.229002150245249,0.483140013828593,1.16921443543795,2945.96124057923,1.00036305423706
"eps_slope[8]",-0.191511486497575,0.0109846127663816,0.619358700662815,-1.60987675206364,-0.509245363162159,-0.140747432240845,0.166624933723722,0.963279895835752,3179.17901078979,0.999926112549431
"eps_slope[9]",0.296843255080737,0.0226729529660816,0.946277079884874,-1.316981584207,-0.181366092679233,0.162228983668432,0.670862596769671,2.49848884736142,1741.88896479356,1.00115765011588
"eps_slope[10]",0.0778634808447221,0.00870138664653075,0.440662772391047,-0.838126366922512,-0.147886371249435,0.0627260034910495,0.305826287992381,1.05452091785038,2564.69538866744,1.00087007273474
"eps_slope[11]",-0.503671015211811,0.0121833053550454,0.583997365175057,-1.84507688312336,-0.81531063173496,-0.424922032345137,-0.12362151611374,0.475804947386628,2297.69043816037,1.00062037452606
"eps_slope[12]",-0.117963863118618,0.00907140409884544,0.518385256371319,-1.2602132717955,-0.392431708706925,-0.0946030142879165,0.15677392501236,0.975093602253869,3265.54937633924,0.999841932397697
"eps_slope[13]",0.186442365175394,0.0104548011863745,0.495978113797281,-0.837878626679684,-0.0688835732586927,0.163179506419439,0.442483988234849,1.23169530579366,2250.57488620616,1.00204594585217
"eps_slope[14]",-0.331317505919437,0.01162254690331,0.567191642769285,-1.64824694653941,-0.620223050144422,-0.261884329650835,0.00697031289782335,0.670300262444057,2381.53534489694,1.00123415205944
"eps_slope[15]",-0.668815828876988,0.0284803280756246,0.964558945288056,-2.97335395091394,-1.09051962811784,-0.507840877735823,-0.0749912640019585,0.796148645574219,1147.01096719097,1.00118210822764
"eps_annual[1]",0.327086626815631,0.0156036108237562,0.818964255668073,-1.16493502990099,-0.181389764443683,0.275186370918107,0.782771187277512,2.10564648545063,2754.73403247087,0.999758965686511
"eps_annual[2]",0.232518641178266,0.0135993395474383,0.801459272471359,-1.30683448465779,-0.256225260157652,0.199106884754675,0.706745307218998,1.8854859548606,3473.17991562985,1.00057186914979
"eps_annual[3]",-0.505008726840635,0.0125270361483638,0.7380189413364,-2.04652239077876,-0.947589715020306,-0.483158425552619,-0.03087964992567,0.905469437625224,3470.87005939445,0.999643956897588
"eps_annual[4]",-0.0524449586383501,0.00767480119739829,0.453145171331398,-0.959034279262199,-0.337743898409798,-0.05401679142969,0.236771926194615,0.84742124157112,3486.10484024595,1.00151254463087
"eps_annual[5]",-0.963368827501032,0.00864586791658922,0.480041630434644,-1.95524646920522,-1.27333905355408,-0.937285762038652,-0.646455112288438,-0.0750617287855432,3082.76636039561,1.00222814918668
"eps_annual[6]",2.0127665492689,0.0132795909497807,0.651793221367003,0.901363642205352,1.55969010053418,1.943266277101,2.39666624617645,3.50421280632924,2409.07479374962,1.00124092181078
"eps_annual[7]",-0.435831978237526,0.00786419230396255,0.445938843892465,-1.37599182988956,-0.716559491567431,-0.413657516711885,-0.136684177431764,0.413209228665318,3215.45441906092,1.00010859464825
"eps_annual[8]",0.625989569215522,0.0087733027326305,0.472514364705891,-0.249920617336308,0.317948623076141,0.605123496918596,0.912805194032711,1.62400399252318,2900.70658474706,1.00231184991568
"eps_annual[9]",-0.863167559949149,0.00875643568592973,0.461136024894019,-1.81348029367794,-1.14983012492716,-0.842280506724877,-0.544289244168085,0.00442713825893527,2773.34167978021,1.00038500753198
"eps_annual[10]",-0.228566275719336,0.00750947109584065,0.413718406198782,-1.08506433293156,-0.489159516129572,-0.208117726932078,0.0386752380267286,0.560058046175405,3035.22566516088,1.00239252251185
"eps_annual[11]",-1.20105642130198,0.0103034932220168,0.533581316555693,-2.34117061626027,-1.53613191614225,-1.1691767806924,-0.830128329314045,-0.261757612710321,2681.83620244149,1.00055628128719
"eps_annual[12]",0.757770692816835,0.00974462583932124,0.494194765780605,-0.116696087781253,0.421464484188442,0.73321873812679,1.07273290002327,1.82021094541439,2571.97028042086,1.00149334991997
"eps_annual[13]",1.23221511591138,0.0109645541625078,0.547048946105198,0.240168301987294,0.858931169122536,1.19199886417613,1.58225547666251,2.38112563222308,2489.26089692585,1.00053457423275
"eps_annual[14]",-0.457362567002798,0.00757367791797899,0.434301483324935,-1.37339340839332,-0.733475884032359,-0.44051960003168,-0.162249124304717,0.361015052093659,3288.28128729573,1.00059754555902
"eps_annual[15]",-0.0623189778234616,0.00770314670787453,0.447471943005793,-0.974865740708308,-0.349859401562887,-0.0566946648151767,0.22388970625608,0.80709980273,3374.39004522091,1.00075484112484
"eps_annual[16]",0.316767050540563,0.00733730885336197,0.463395867541495,-0.571426469311097,0.00584227168609568,0.301707208513462,0.613382202574648,1.26277572148247,3988.69392897545,0.999649956445635
"het[1]",3.53981579625234,0.0297122000049434,1.49323733576722,1.29453438574368,2.47849405817896,3.30471313381853,4.34953639281707,7.1002884376979,2525.73661808228,1.0008629052617
"het[2]",0.678582757249686,0.0133405769676098,0.682585822353708,0.0189504382915748,0.197636743301031,0.47353687750278,0.93673459116458,2.55959628202946,2617.9738330095,1.00242488215563
"eps_sigma_rn[1]",0.762923868651122,0.0107330174830924,0.602645043891086,0.131580690061464,0.360036463256893,0.605315194155148,0.975993350346983,2.34954329047024,3152.67719321767,1.00082926524478
"eps_sigma_rn[2]",1.62992633687163,0.018778726835697,1.06587422328684,0.369698933845173,0.919750253416655,1.39434145824141,2.05803849997721,4.24598243495647,3221.65944376056,1.00017791585999
"eps_sigma_rn[3]",0.849064927020598,0.0103412371326042,0.605399481674127,0.167932158420026,0.442066238735453,0.700754961835893,1.08593284509778,2.35973225224329,3427.19721058052,1.00002617428556
"eps_sigma_rn[4]",1.80311622127103,0.0222156813224454,1.17674716879808,0.370760310902579,1.00056646050763,1.54371219249967,2.29218206656948,4.81405113216496,2805.73758730394,0.999963815646167
"eps_sigma_rn[5]",0.462789754337047,0.00623181731085225,0.389403996367427,0.0735725815529287,0.209844283319563,0.355944484205847,0.598082877797931,1.44203697795073,3904.55353707713,1.00078369143605
"eps_sigma_rn[6]",1.2212864481257,0.0213176122931406,1.32031342308445,0.128399630061757,0.4357303862236,0.82985309031593,1.50858630121004,4.75496356321433,3835.98551416989,0.999859646533085
"eps_sigma_rn[7]",0.458754578453383,0.00536032766172693,0.356515192884096,0.0756251306341106,0.215871275946541,0.362155351180561,0.585310751639565,1.4058486811251,4423.57513941897,0.999726574267164
"eps_sigma_rn[8]",3.37141360156889,0.0433913181430083,2.16500511123032,0.747972613700487,1.90891582005753,2.88670932994072,4.17463168079961,8.94404209868481,2489.50019881542,1.00173020367618
"eps_sigma_rn[9]",15.1950493611684,0.238629510620576,10.6977198052153,4.36956279601395,8.42236066534677,12.2221173452976,18.7825351166306,41.2152741278263,2009.71343656742,1.00317299757253
"eps_sigma_rn[10]",0.7363172138695,0.0101303012767002,0.598523875588018,0.116006082725993,0.335198245642388,0.572063761921246,0.948548355451452,2.40865860226368,3490.74589358154,1.0008293368856
"eps_sigma_rn[11]",0.951538535017274,0.0139594895880356,0.744922927581293,0.141890580068597,0.443489252366594,0.754978120343789,1.23537120715488,2.92164672173061,2847.6302946265,0.999831742722423
"eps_sigma_rn[12]",1.26612209483142,0.0271198434985408,1.22755260687631,0.125138429398955,0.467666540215708,0.883708350371063,1.64588883754938,4.5606995318918,2048.82973191217,1.00036775373753
"eps_sigma_rn[13]",0.842661462978746,0.0122156934639862,0.690918005333086,0.131555991710902,0.405550532904723,0.668629148206272,1.08171838602244,2.57480419614163,3199.01862633583,0.9999938083922
